Time	Group
0.02	Ozon_Old
4.47	Ozon_Old
5.3	Ozon_Old
68.72	Ozon_Old
1.88	Ozon_Old
73.68	Ozon_Old
0.25	Ozon_Old
0.93	Ozon_Old
0.0	Ozon_Old
6.32	Ozon_Old
57.38	Ozon_Old
0.0	Ozon_Old
0.0	Ozon_Old
19.52	Ozon_Old
19.67	Ozon_Old
17.65	Ozon_Old
24.17	Ozon_Old
1.8	Ozon_Old
21.37	Ozon_Old
15.88	Ozon_Old
18.47	Ozon_Old
5.47	Ozon_Old
28.57	Ozon_Old
1.97	Ozon_Old
6.07	Ozon_Old
0.0	Ozon_Old
0.0	Ozon_Old
23.6	Ozon_Old
24.18	Ozon_Old
21.52	Ozon_Old
22.22	Ozon_Old
0.0	Ozon_Old
14.22	Ozon_Old
21.6	Ozon_Old
24.58	Ozon_Old
24.57	Ozon_Old
23.25	Ozon_Old
0.0	Ozon_Old
0.0	Ozon_Old
26.83	Ozon_Old
24.2	Ozon_Old
24.25	Ozon_Old
1.62	Ozon_Old
0.0	Ozon_Old
171.35	Ozon_Old
45.3	Ozon_Old
26.27	Ozon_Old
0.0	Ozon_Old
18.18	Ozon_Old
7.33	Ozon_Old
40.1	Ozon_Old
13.0	Ozon_Old
0.0	Ozon_Old
0.0	Ozon_Old
0.02	Ozon_Old
3.58	Ozon_Old
29.78	Ozon_Old
0.0	Ozon_Old
32.85	Ozon_Old
18.33	Ozon_Old
17.9	Ozon_Old
0.0	Ozon_Old
30.37	Ozon_Old
1.63	Ozon_Old
0.0	Ozon_Old
0.07	Ozon_Old
27.83	Ozon_Old
0.0	Ozon_Old
17.62	Ozon_Old
48.43	Ozon_Old
27.38	Ozon_Old
20.13	Ozon_Old
18.57	Ozon_Old
20.9	Ozon_Old
21.33	Ozon_Old
19.27	Ozon_Old
0.0	Ozon_Old
18.98	Ozon_Old
19.62	Ozon_Old
0.0	Ozon_Old
0.0	Ozon_Old
0.0	Ozon_Old
0.35	Ozon_Old
0.0	Ozon_Old
45.83	Ozon_Old
17.48	Ozon_Old
0.0	Ozon_Old
0.0	Ozon_Old
26.68	Ozon_Old
0.0	Ozon_Old
6.1	Ozon_Old
50.27	Ozon_Old
0.0	Ozon_Old
2.78	Ozon_Old
0.03	Ozon_Old
0.0	Ozon_Old
24.97	Ozon_Old
0.0	Ozon_Old
0.27	Ozon_Old
20.03	Ozon_Old
0.0	Ozon_Old
46.0	Ozon_Old
2.47	Ozon_Old
25.88	Ozon_Old
2.8	Ozon_Old
20.95	Ozon_Old
